input: 1.133352 | weights: 0.000008 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: -2.082689 | weights: 0.131538 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 1.262694 | weights: 0.755605 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.985515 | weights: 0.458650 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.118400 | weights: 0.532767 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.277600 | weights: 0.218959 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.300100 | weights: 0.047045 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.147100 | weights: 0.678865 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.241900 | weights: 0.679296 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.078710 | weights: 0.934693 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 1.095000 | weights: 0.383502 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.905300 | weights: 0.519416 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 3.254407 | weights: 0.830965 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 2.490157 | weights: 0.034572 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.006399 | weights: 0.053462 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.049040 | weights: 0.529700 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.053730 | weights: 0.671149 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.015870 | weights: 0.007698 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.030030 | weights: 0.383416 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.006193 | weights: 0.066842 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 1.914371 | weights: 0.417486 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: -1.348454 | weights: 0.686773 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 2.291489 | weights: 0.588977 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 2.001507 | weights: 0.930436 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.162200 | weights: 0.846167 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.665600 | weights: 0.526929 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.711900 | weights: 0.091965 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.265400 | weights: 0.653919 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.460100 | weights: 0.415999 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
input: 0.118900 | weights: 0.701191 | bias: 0.000000 | output: 0.000000 | error: 0.000000 | delta: 0.000000
